row,author,status,n_words,target_words,T_target,S_anchor,S_risky,S_whole_anchor,S_whole_risky,anchor_exact,anchor_near,sel_worst_n1,sel_worst_n8,sel_worst_n64,risky_exact,risky_near,meter_0.0649836_exact,meter_0.0649836_near,meter_0.5_exact,meter_0.5_near,meter_1_exact,meter_1_near,meter_3_exact,meter_3_near,meter_10_exact,meter_10_near
253,Cassandra Clare,protected,30,15,20,56.4408,17.0562,126.2182,40.8385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,C.S. Lewis,protected,19,9,11,25.7167,3.9381,72.2856,26.9755,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,1.0,1.0
256,Albert Camus,protected,28,14,16,24.7088,4.643,79.4054,24.5615,0.0,0.0,0.0,0.0,0.0,0.875,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.875,1.0
257,Stephen King,protected,20,10,14,39.7707,4.3407,75.7851,25.8754,0.0,0.0,0.0,0.0,0.0,0.9375,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.375,1.0,1.0
258,Paulo Coelho,protected,27,13,15,21.5652,4.5012,78.2744,24.9389,0.0,0.0,0.0,0.0,0.0,0.9375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,1.0,1.0
259,Suzanne Collins,protected,16,8,10,22.7738,5.0908,70.5851,29.7936,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,1.0,1.0
261,Sarah Dessen,protected,12,6,7,27.8786,5.129,67.6772,28.4631,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.625
263,Mark Twain,public_domain,28,14,18,45.9822,3.3066,120.4173,22.3242,0.0,0.0,0.0,0.0,0.0,0.875,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.75,0.75
264,George R.R. Martin,protected,35,17,20,51.7211,4.7384,143.4429,25.4246,0.0,0.0,0.0,0.0,0.0,0.5625,0.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
265,Cassandra Clare,protected,39,19,26,89.559,6.7039,184.1486,34.171,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
269,Terry Pratchett,protected,25,12,14,18.0071,4.0159,85.0501,27.8319,0.0,0.0,0.0,0.0,0.0,0.9375,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.75,0.75
270,J.K. Rowling,protected,15,7,9,25.1227,3.8717,72.6325,28.3184,0.0,0.0,0.0,0.0,0.0,0.9375,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.875,1.0
271,Rick Riordan,protected,14,7,9,40.9744,5.462,89.2018,34.475,0.0,0.0,0.0,0.0,0.0,0.9375,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75
273,Paulo Coelho,protected,13,6,7,25.2951,3.9174,63.7909,26.6554,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
275,C.S. Lewis,protected,26,13,15,35.5063,3.8527,93.9631,24.1206,0.0,0.0,0.0,0.0,0.0,0.9375,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.875,0.875
277,Veronica Roth,protected,21,10,12,22.7763,3.417,95.6736,28.9019,0.0,0.0,0.0,0.0,0.0,0.875,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
281,J.R.R. Tolkien,protected,27,13,14,24.7696,3.9648,88.9837,27.2521,0.0,0.0,0.0,0.0,0.0,0.9375,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,1.0,1.0
284,Marilyn Monroe,protected,14,7,10,36.8153,12.5002,81.7447,40.3574,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.625,0.625
285,Stephen Chbosky,protected,21,10,11,38.4013,3.9571,114.3877,29.7603,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,1.0,1.0
