constraint,k,L,prompt_id,window,S_i,K_i,surplus,attempts,matched,attempts_to_match,bound_success_prob,bound_expected_attempts
kl,-1.0,50,bookmia.01.75,2,143.64,-50.0,193.64,2,1,2,1.0,1.0
kl,-1.0,50,bookmia.01.75,3,197.96,-50.0,247.96,6,1,6,1.0,1.0
kl,-1.0,50,bookmia.01.75,4,162.78,-50.0,212.78,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.75,5,42.63,-50.0,92.63,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.76,0,176.29,-50.0,226.29,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.76,1,190.56,-50.0,240.56,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.76,2,145.5,-50.0,195.5,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.76,3,160.99,-50.0,210.99,6,1,6,1.0,1.0
kl,-1.0,50,bookmia.01.76,4,147.44,-50.0,197.44,3,1,3,1.0,1.0
kl,-1.0,50,bookmia.01.76,5,27.42,-50.0,77.42,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.77,0,233.09,-50.0,283.09,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.77,1,161.75,-50.0,211.75,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.77,2,162.45,-50.0,212.45,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.77,3,131.6,-50.0,181.6,3,1,3,1.0,1.0
kl,-1.0,50,bookmia.01.77,4,149.37,-50.0,199.37,1,1,1,1.0,1.0
